27.08.1999, Эсвель Эвенвуд, f, 53188, Либерти-Сити
20.06.1998, Элли Белдер, M, 207755, Великий Гусляр
12.01.1996, Корза Хен'Дадик, M, 146695, Лапута
05.05.2004, Кронхад Кристалфист, f, 603332, Кэр-Паравель
03.10.1985, Горн Эвенвуд, f, 309212, Анк-Морпорк
25.01.2010, Алстон Заффраб Плащ, f, 290062, Вайс-Сити
25.03.2007, Корза Ксогоголь, F, 425132, Касл-Рок
01.12.1987, Эсвель Эвенвуд, m, 163761, Южный Парк
08.09.1992, Элли Белдер, m, 885870, Зурбаган
02.10.1999, Еро Асторио, m, 596871, Лапута
05.03.1979, Зашеир Думеин, m, 805455, Зурбаган
26.13.1994, Шнелисс Гемкаттер, M, 667564, Либерти-Сити
10.06.1985, Зашеир Думеин, F, 116235, Твин Пикс
24.11.1984, Энна Упавшая Звезда, m, 4242, Арглтон
21.09.2010, Чиаркот Зиалео, m, 281880, Великий Гусляр
21.06.1992, Айвор Марск, F, 579775, Эглоу
24.03.1989, Делин Рунтроп, F, 52870, Твин Пикс
12.04.1983, Луэ Найло (Ночной Бриз), f, 568670, Зурбаган
11.09.2001, Вренн, M, 340498, Город грехов
12.02.2010, Линзеюн Итуоа, F, 621497, Великий Гусляр
06.02.1993, Хасеид Рейн, F, 482897, Пндапецим
13.01.1975, Кхемед Пашар, m, 417563, Каркоза
15.12.1983, Линзеюн Итуоа, m, 466204, Касл-Рок
20.01.2004, Шнелисс Гемкаттер, m, 512354, Лаленбург
20.06.2008, Делин Рунтроп, M, 320028, Хилл-Вэлли
02.09.2010, Алстон Заффраб Плащ, M, 40411, Твин Пикс
09.12.2009, Делин Рунтроп, f, 111411, Изумрудный город
04.10.1983, Медис Фрахдрандон, F, 125628, Арканар
05.12.2009, Чао Кунг, f, 300054, Пндапецим
14.08.2004, Шнелисс Гемкаттер, M, 356217, Арканар
13.13.2004, Ивридда Айронфут, m, 690811, Лоххаузен
25.12.2009, Фран Алгой, F, 618013, Каркоза
19.07.2010, Кронхад Кристалфист, F, 303541, Хилл-Вэлли
05.03.1982, Найвара Коэлана, F, 593748, Кэр-Паравель
17.02.2009, Элдон Bulty, F, 539977, Кэр-Паравель
12.11.1985, Витглен Хетингтон, f, 175423, Куахог
25.04.1991, Фанатик Бекрашесс, M, 686150, Хилл-Вэлли
19.11.1981, Хасеид Мостана, m, 416097, Каркоза
07.07.2007, Вонда Писакар, F, 826052, Зурбаган
09.10.1987, Козеф Дотск, M, 338421, Анк-Морпорк
05.02.1983, Иммит Оба, M, 473018, Арканар
01.07.1996, Эверан Зилосьен, m, 436828, Кэр-Паравель
23.03.2003, Айвор Немецк, F, 178923, Каркоза
10.12.1990, Айвор Немецк, f, 361720, Арглтон
20.11.1977, Козеф Дотск, m, 726306, Великий Гусляр
15.10.2002, Делин Рунтроп, M, 387883, Южный Парк
22.02.2001, Шлорх Зиалео, M, 119567, Куахог
06.06.2003, Керкад Фафниренниш, F, 210073, Пндапецим
07.02.1983, Кхемед Пашар, m, 221495, Аттилан
10.04.1996, Дарзии Ер, M, 28443, Арглтон
18.13.2004, Мири Гон, m, 529053, Аттилан
02.09.1992, Эверан Зилосьен, M, 685091, Эглоу
16.05.1978, Фрити Анкхалаб, m, 358789, Арканар
24.01.2002, Иммит Оба, f, 221873, Город грехов
20.04.2007, Менг Шин, F, 288504, Лапута
08.09.1983, Корза Ксогоголь, f, 116357, Зурбаган
19.12.1978, Кхемед Пашар, f, 24088, Арканар
23.09.1998, Ивридда Айронфут, m, 877609, Зурбаган
06.04.1976, Криви Айронфут, m, 404909, Зурбаган
19.11.1992, Криви Айронфут, M, 822938, Твин Пикс
20.01.1980, Хама Баша, M, 243300, Лаленбург
12.12.2008, Вуресси Акамбхериллиакс, f, 733471, Хилл-Вэлли
09.13.1989, Ана Калабра, m, 410125, Хилл-Вэлли
12.02.2009, Виарти Итуоа, f, 587154, Вайс-Сити
01.08.1993, Фрити Анкхалаб, M, 299853, Хилл-Вэлли
08.09.1983, Эсвель Эвенвуд, m, 159158, Лоххаузен
01.01.1977, Корза Хен'Дадик, F, 465877, Анк-Морпорк
14.05.1988, Делин Рунтроп, M, 367148, Куахог
22.12.2010, Со-Кехур Анкхалаб, m, 305727, Изумрудный город
23.02.1983, Хасеид Рейн, f, 491192, Город грехов
05.10.2008, Зора Чернин, f, 874170, Пндапецим
07.02.1975, Чао Кунг, M, 350347, Великий Гусляр
15.11.2009, Энна Упавшая Звезда, f, 499223, Арканар
01.02.2003, Иммит Оба, M, 855752, Изумрудный город
26.06.1992, Хама Баша, m, 525232, Южный Парк
06.12.1990, Чао Кунг, f, 143586, Великий Гусляр
28.04.1994, Диньзее Вулу, f, 97292, Вайс-Сити
05.01.2000, Мири Гон, M, 299469, Спрингфилд
23.02.1990, Барерис Фезим, F, 653170, Каркоза
01.03.1993, Вренн, M, 790413, Пндапецим
05.07.1997, Энна Упавшая Звезда, F, 632538, Кэр-Паравель
11.01.1998, Шуй Мей, F, 336333, Хилл-Вэлли
24.06.2002, Хама Баша, f, 329393, Арглтон
08.08.1983, Мампена Анвера, F, 832227, Эглоу
08.04.2000, Цзюн Лао, f, 852185, Твин Пикс
25.01.1995, Иеруша Хен'Тат, F, 54112, Изумрудный город
22.06.2006, Менг Шин, M, 729441, Мензоберранзан
05.07.1978, Айвор Немецк, M, 548534, Лаленбург
07.11.2006, Шнелисс Гемкаттер, M, 198118, Пндапецим
23.13.1993, Иль Бакмэн, f, 146176, Вайс-Сити
25.10.1982, Медис Фрахдрандон, f, 41811, Лапута
04.02.1984, Хама Баша, F, 549547, Твин Пикс
09.10.1983, Цзюн Лао, F, 587900, Арканар
28.11.2000, Вренн, M, 237460, Зурбаган
27.11.1983, Аот Фезим, F, 666376, Южный Парк
21.12.1998, Со-Кехур Анкхалаб, M, 341709, Изумрудный город
19.08.1976, Цзюн Лао, M, 109561, Твин Пикс
21.06.1981, Кронхад Кристалфист, F, 790821, Каркоза
20.02.1978, Аль Толстаг, M, 789336, Зурбаган
08.10.2001, Корза Хен'Дадик, m, 898893, Эглоу
27.11.1981, Виарти Итуоа, f, 166396, Касл-Рок
06.03.1991, Фран Алгой, F, 734168, Город грехов
13.04.2009, Иеруша Талаф, m, 527083, Арканар
20.09.1992, Элдон Bulty, f, 592059, Кэр-Паравель
01.01.1998, Фанатик Бекрашесс, F, 699407, Куахог
11.01.1994, Виарти Итуоа, m, 277636, Хилл-Вэлли
04.03.2009, Шнелисс Гемкаттер, F, 370275, Аттилан
27.13.1991, Еро Асторио, M, 645631, Кэр-Паравель
15.09.1986, Витглен Хетингтон, f, 565384, Арканар
07.10.1991, Иеруша Талаф, f, 392182, Город грехов
26.11.2004, Кривоухий Шестенделиат, m, 175025, Южный Парк
16.13.1979, Менг Шин, f, 572664, Зурбаган
18.01.2001, Чао Кунг, f, 260550, Касл-Рок
05.12.1980, Медис Фрахдрандон, M, 837040, Лоххаузен
11.09.1982, Шуй Мей, M, 190157, Пндапецим
12.03.1993, Кронхад Кристалфист, M, 686437, Куахог
16.10.1977, Менг Шин, F, 509463, Твин Пикс
15.08.2006, Дарзии Ер, f, 891517, Анк-Морпорк
14.10.1992, Шнелисс Гемкаттер, M, 555873, Арканар
04.09.1978, Мири Гон, M, 436406, Анк-Морпорк
26.05.1995, Ивридда Айронфут, m, 152199, Касл-Рок
17.10.1980, Вуресси Акамбхериллиакс, F, 641178, Аттилан
10.06.1984, Ивридда Айронфут, F, 606097, Город грехов
26.09.1982, Криви Айронфут, f, 810639, Аттилан
18.13.1995, Аль Толстаг, f, 550862, Спрингфилд
08.05.1985, Владислак Стаянога, m, 194635, Арканар
23.07.2001, Горн Эвенвуд, f, 297386, Лоххаузен
10.05.1999, Хама Баша, F, 527517, Хилл-Вэлли
12.09.1989, Криви Айронфут, m, 85831, Арканар
04.08.2005, Наварра Чергоба, M, 489197, Спрингфилд
24.03.2007, Эсвель Эвенвуд, F, 805176, Мензоберранзан
16.03.1991, Наварра Чергоба, m, 121789, Куахог
13.07.2008, Эверан Зилосьен, F, 622829, Вайс-Сити
01.06.1982, Наварра Мурнитара, F, 200125, Арканар
05.03.2000, Хама Баша, F, 336747, Хилл-Вэлли
03.08.1998, Фанатик Бекрашесс, M, 527273, Арглтон
08.03.2007, Делин Рунтроп, F, 652633, Каркоза
13.05.1981, Наварра Чергоба, f, 643012, Лапута
22.04.1976, Со-Кехур Анкхалаб, m, 581250, Южный Парк
17.02.1991, Фанатик Бекрашесс, f, 242836, Хилл-Вэлли
01.12.1976, Эрин Сианодель (Лунный Ручей), f, 365762, Зурбаган
05.06.2002, Чао Кунг, M, 749172, Мензоберранзан
08.06.2005, Керкад Фафниренниш, F, 524748, Лапута
05.10.2009, Иль Бакмэн, M, 813991, Пндапецим
28.01.1990, Чао Кунг, f, 884075, Мензоберранзан
11.09.1986, Эрин Сианодель (Лунный Ручей), F, 888206, Южный Парк
27.06.1998, Корза Ксогоголь, M, 252461, Великий Гусляр
03.10.1986, Криви Айронфут, f, 438054, Анк-Морпорк
07.13.1975, Вонда Писакар, f, 211100, Эглоу
08.05.1995, Кехур Серпет, m, 232788, Мензоберранзан
27.05.2009, Ана Калабра, F, 803220, Великий Гусляр
09.13.1995, Хасеид Рейн, F, 147613, Кэр-Паравель
26.09.1998, Делин Рунтроп, F, 708850, Зурбаган
02.07.1999, Чао Кунг, M, 608332, Твин Пикс
25.06.1979, Келлен Боддинок Фниппер, M, 44908, Хилл-Вэлли
14.13.1988, Эверан Зилосьен, M, 198790, Город грехов
15.02.1979, Аот Фезим, f, 359592, Хилл-Вэлли
01.02.1979, Владислак Стаянога, M, 737995, Город грехов
28.05.1986, Медис Фрахдрандон, f, 378880, Куахог
11.13.1986, Вуресси Акамбхериллиакс, m, 320426, Каркоза
22.02.2003, Чиаркот Зиалео, F, 392059, Лаленбург
15.13.1982, Алстон Заффраб Плащ, F, 290872, Лапута
08.12.1982, Кеддикай Хун'Дадик, f, 618542, Зурбаган
16.04.2004, Мири Гон, m, 779841, Каркоза
25.13.1980, Алстон Заффраб Плащ, F, 176529, Южный Парк
22.08.1980, Эверан Зилосьен, f, 372365, Арканар
28.09.1994, Иеруша Талаф, M, 337490, Зурбаган
09.01.2005, Орел Немецк, M, 296369, Анк-Морпорк
14.02.1985, Медис Фрахдрандон, m, 315847, Твин Пикс
13.01.1983, Вонда Писакар, m, 761140, Анк-Морпорк
02.07.1997, Зора Чернин, M, 733339, Аттилан
04.11.2005, Фрити Анкхалаб, F, 560322, Великий Гусляр
09.02.1977, Корза Хен'Дадик, M, 410194, Город грехов
09.05.1981, Корза Хен'Дадик, M, 136163, Спрингфилд
25.08.1995, Аль Толстаг, f, 866857, Зурбаган
18.05.1984, Чиаркот Зиалео, F, 316257, Пндапецим
24.04.1990, Вренн, F, 87361, Либерти-Сити
12.13.1985, Козеф Дотск, F, 408729, Эглоу
05.04.1997, Фанатик Бекрашесс, F, 879943, Изумрудный город
02.07.2004, Кхемед Пашар, M, 687179, Великий Гусляр
17.10.1999, Эрин Сианодель (Лунный Ручей), m, 103211, Лаленбург
12.10.2006, Балама Домине, F, 445214, Хилл-Вэлли
15.12.1985, Виарти Итуоа, F, 82988, Аттилан
21.08.2004, Хасеид Рейн, M, 338388, Эглоу
18.02.1983, Чао Кунг, M, 207606, Касл-Рок
04.08.1985, Витглен Хетингтон, m, 714387, Лоххаузен
03.11.2006, Цзюн Лао, m, 199675, Кэр-Паравель
18.04.2003, Элдон Bulty, m, 788818, Пндапецим
16.01.1985, Иеруша Хен'Тат, M, 832790, Каркоза
13.13.1979, Айвор Немецк, m, 150837, Город грехов
08.01.1981, Зашеир Думеин, m, 842732, Великий Гусляр
13.04.1996, Алстон Заффраб Плащ, m, 276418, Зурбаган
22.11.2009, Корза Ксогоголь, m, 573253, Касл-Рок
07.06.1975, Виарти Итуоа, m, 296586, Мензоберранзан
12.04.2003, Шлорх Зиалео, f, 723244, Изумрудный город
23.11.1980, Фран Алгой, M, 166116, Твин Пикс
20.07.1977, Зашеир Думеин, m, 244952, Аттилан
24.04.2008, Диньзее Вулу, M, 394590, Твин Пикс
21.11.1992, Аль Толстаг, M, 653920, Хилл-Вэлли
04.06.1975, Балама Домине, F, 703, Либерти-Сити
20.07.2007, Вуресси Акамбхериллиакс, f, 817226, Спрингфилд
23.12.1985, Фанатик Бекрашесс, F, 184973, Эглоу
08.05.1991, Корза Ксогоголь, m, 416432, Касл-Рок
02.11.2006, Энна Упавшая Звезда, M, 365105, Твин Пикс
04.06.2005, Кривоухий Шестенделиат, f, 264547, Аттилан
02.01.2001, Со-Кехур Анкхалаб, m, 384804, Либерти-Сити
15.03.1982, Айвор Марск, F, 57915, Кэр-Паравель
12.01.1995, Чао Кунг, f, 235481, Лаленбург
18.01.2009, Хасеид Рейн, F, 417842, Хилл-Вэлли
07.12.2004, Дарзии Ер, F, 609448, Южный Парк
14.01.2005, Чао Кунг, M, 331077, Великий Гусляр
20.12.2002, Виарти Итуоа, m, 229592, Хилл-Вэлли
12.12.1999, Найвара Коэлана, F, 674548, Каркоза
21.01.2010, Файварра Мурнитара, m, 640638, Кэр-Паравель
07.09.1989, Луэ Найло (Ночной Бриз), M, 151416, Касл-Рок
03.07.2006, Кеддикай Хун'Дадик, F, 221913, Изумрудный город
01.04.1986, Наварра Чергоба, f, 618017, Аттилан
16.13.1977, Кхемед Пашар, M, 325498, Хилл-Вэлли
28.03.1979, Наварра Чергоба, m, 489859, Эглоу
02.02.2006, Иль Бакмэн, M, 378556, Великий Гусляр
25.02.1994, Ана Калабра, F, 886661, Касл-Рок
03.03.1993, Шуй Мей, m, 829399, Изумрудный город
24.08.1986, Чиаркот Зиалео, M, 594755, Либерти-Сити
02.03.1978, Корза Ксогоголь, m, 660361, Лапута
08.04.1979, Ана Калабра, f, 413251, Кэр-Паравель
12.09.1995, Зашеир Думеин, F, 647186, Твин Пикс
25.08.1993, Луэ Найло (Ночной Бриз), F, 487010, Либерти-Сити
04.02.1986, Корза Ксогоголь, F, 100333, Изумрудный город
26.06.1979, Айвор Немецк, f, 793464, Эглоу
06.04.1980, Кеддикай Хун'Дадик, F, 305196, Пндапецим
12.07.1996, Диньзее Вулу, f, 497791, Арглтон
21.03.2005, Балама Домине, m, 25456, Арглтон
04.13.1994, Виарти Итуоа, M, 128457, Эглоу
03.03.1991, Корза Ксогоголь, F, 758213, Аттилан
25.13.1994, Элдон Bulty, M, 481456, Вайс-Сити
05.02.1993, Алстон Заффраб Плащ, M, 118818, Мензоберранзан
06.03.1995, Козеф Дотск, f, 677823, Твин Пикс
06.13.2008, Шнелисс Гемкаттер, F, 806253, Лоххаузен
02.03.2001, Ивридда Айронфут, F, 645617, Пндапецим
06.02.2008, Айвор Марск, m, 447347, Куахог
26.07.1992, Делин Рунтроп, m, 303049, Либерти-Сити
18.10.1997, Ивридда Айронфут, F, 690791, Твин Пикс
22.05.2008, Иммит Оба, f, 835779, Зурбаган
15.08.2004, Мампена Анвера, m, 488852, Пндапецим
26.02.1987, Со-Кехур Анкхалаб, f, 288836, Хилл-Вэлли
20.10.1981, Кеддикай Хун'Дадик, f, 598397, Твин Пикс
01.10.1992, Найвара Коэлана, m, 879135, Хилл-Вэлли
20.13.1981, Еро Асторио, F, 24552, Город грехов
13.12.2001, Кехур Серпет, m, 35982, Спрингфилд
22.08.1983, Энна Упавшая Звезда, F, 119942, Пндапецим
24.10.1989, Криви Айронфут, f, 864745, Либерти-Сити
11.09.2007, Энна Упавшая Звезда, f, 380616, Спрингфилд
06.07.2001, Шлорх Зиалео, f, 151891, Город грехов
25.01.1989, Иеруша Талаф, f, 775057, Зурбаган
12.10.2010, Фран Алгой, M, 375464, Арканар
25.06.1989, Хасеид Рейн, m, 320214, Куахог
02.13.1976, Ана Калабра, f, 709305, Лаленбург
26.05.1979, Со-Кехур Анкхалаб, f, 55491, Великий Гусляр
14.12.1979, Линзеюн Итуоа, M, 456604, Кэр-Паравель
25.08.1976, Келлен Боддинок Фниппер, m, 395188, Кэр-Паравель
20.13.1985, Вонда Писакар, m, 243109, Каркоза
20.07.1986, Элли Белдер, M, 511343, Эглоу
27.06.1988, Эверан Зилосьен, m, 780548, Эглоу
24.09.1981, Менг Шин, M, 374743, Великий Гусляр
16.07.1982, Энна Упавшая Звезда, M, 412293, Лаленбург
11.12.1997, Иеруша Хен'Тат, f, 695159, Лаленбург
15.12.2000, Кривоухий Шестенделиат, f, 517705, Лаленбург
26.04.1991, Шнелисс Гемкаттер, M, 847429, Вайс-Сити
24.01.1981, Зора Чернин, m, 54895, Южный Парк
19.06.2000, Иеруша Талаф, f, 194968, Арканар
20.01.1984, Вренн, f, 101138, Изумрудный город
13.08.1978, Кехур Серпет, f, 348738, Либерти-Сити
25.04.1996, Айвор Немецк, m, 742483, Лаленбург
28.03.2009, Маркон Фалоне, f, 487445, Эглоу
28.13.1978, Барерис Фезим, M, 143602, Либерти-Сити
17.12.1987, Аот Фезим, F, 5342, Лапута
06.06.1980, Иеруша Талаф, f, 12207, Твин Пикс
22.01.1993, Вонда Писакар, f, 393090, Мензоберранзан
20.13.1982, Хасеид Рейн, F, 723651, Либерти-Сити
27.04.1988, Козеф Дотск, F, 835873, Касл-Рок
15.01.1986, Элдон Bulty, M, 722224, Арканар
08.08.2001, Иеруша Талаф, m, 219542, Спрингфилд
16.09.1978, Владислак Стаянога, F, 194361, Хилл-Вэлли
17.04.1984, Козеф Дотск, M, 657671, Эглоу
18.07.1990, Элдон Bulty, m, 717181, Хилл-Вэлли
26.06.2006, Иммит Оба, f, 379916, Пндапецим
10.10.1990, Дарзии Ер, M, 435263, Куахог
01.01.1987, Хасеид Мостана, M, 489767, Куахог
22.07.1985, Зора Чернин, F, 7723, Южный Парк
13.03.2008, Зора Чернин, M, 214615, Арканар
05.04.1997, Хасеид Мостана, F, 330373, Спрингфилд
24.08.1982, Чиаркот Зиалео, M, 716181, Куахог
16.13.1996, Фрити Анкхалаб, f, 811074, Анк-Морпорк
10.03.1979, Зашеир Думеин, f, 379216, Великий Гусляр
18.11.2009, Ана Калабра, F, 421919, Куахог
11.03.1990, Линзеюн Итуоа, m, 687134, Лоххаузен
28.10.2001, Шуй Мей, f, 431052, Кэр-Паравель
03.09.1975, Кехур Серпет, m, 73743, Лапута
09.09.1996, Чиаркот Зиалео, F, 409677, Южный Парк
12.09.1986, Фрити Анкхалаб, F, 398922, Пндапецим
07.07.1982, Кеддикай Хун'Дадик, m, 857408, Пндапецим
26.05.1996, Келлен Боддинок Фниппер, m, 602016, Изумрудный город
16.06.2007, Корза Хен'Дадик, M, 58565, Касл-Рок
02.02.1978, Медис Фрахдрандон, F, 345132, Кэр-Паравель
26.08.1987, Кривоухий Шестенделиат, F, 654133, Каркоза
08.05.1993, Фанатик Бекрашесс, F, 770199, Спрингфилд
10.09.2006, Элли Белдер, M, 469474, Аттилан
04.11.1999, Линзеюн Итуоа, F, 637961, Аттилан
16.12.1979, Козеф Дотск, m, 122052, Великий Гусляр
09.07.1979, Еро Асторио, m, 536857, Арглтон
13.12.1982, Цзюн Лао, F, 557138, Пндапецим
04.04.2003, Шнелисс Гемкаттер, f, 348117, Либерти-Сити
18.05.2001, Шнелисс Гемкаттер, M, 205591, Город грехов
14.01.1995, Фрити Анкхалаб, F, 885167, Кэр-Паравель
05.06.1989, Мампена Анвера, F, 868339, Либерти-Сити
01.09.1984, Вуресси Акамбхериллиакс, F, 313103, Мензоберранзан
05.01.2001, Иеруша Хен'Тат, F, 238637, Касл-Рок
07.07.1987, Балама Домине, F, 897298, Зурбаган
15.04.1984, Корза Ксогоголь, m, 585558, Твин Пикс
17.12.2008, Ольга Хорнрейвен, F, 154355, Эглоу
05.12.1975, Алстон Заффраб Плащ, F, 299807, Лоххаузен
01.12.1976, Эрин Сианодель (Лунный Ручей), F, 323401, Касл-Рок
23.04.1981, Линзеюн Итуоа, M, 14505, Либерти-Сити
26.09.2008, Менг Шин, F, 222894, Кэр-Паравель
09.02.1981, Эверан Зилосьен, m, 198641, Пндапецим
02.08.1989, Фран Алгой, f, 702381, Касл-Рок
21.07.1995, Криви Айронфут, m, 716131, Эглоу
03.03.2002, Линзеюн Итуоа, m, 401648, Лоххаузен
26.05.1982, Иеруша Хен'Тат, M, 74005, Зурбаган
24.10.2003, Еро Асторио, f, 716875, Твин Пикс
20.13.1995, Керкад Фафниренниш, m, 597753, Либерти-Сити
04.02.1996, Эверан Зилосьен, m, 834175, Изумрудный город
17.08.1998, Иеруша Хен'Тат, f, 327871, Мензоберранзан
03.12.1993, Балама Домине, m, 45988, Мензоберранзан
19.06.1993, Ивридда Айронфут, F, 892009, Арканар
15.06.1988, Делин Рунтроп, f, 470562, Аттилан
14.02.2002, Алстон Заффраб Плащ, m, 786859, Эглоу
19.04.2002, Линзеюн Итуоа, m, 744145, Изумрудный город
18.12.2006, Наварра Мурнитара, M, 386901, Изумрудный город
17.02.1980, Козеф Дотск, f, 54394, Пндапецим
02.03.1976, Корза Ксогоголь, m, 447010, Пндапецим
26.01.1982, Зора Чернин, f, 383570, Арглтон
25.03.1993, Еро Асторио, F, 831076, Арглтон
07.11.1988, Кривоухий Шестенделиат, M, 884819, Анк-Морпорк
23.03.1979, Иль Бакмэн, F, 524251, Мензоберранзан
24.07.1984, Энна Упавшая Звезда, F, 450642, Арканар
26.11.2001, Вренн, m, 825010, Арглтон
10.05.1977, Медис Фрахдрандон, F, 766511, Изумрудный город
19.01.1983, Вонда Писакар, m, 785677, Мензоберранзан
08.05.1980, Вуресси Акамбхериллиакс, F, 554513, Лоххаузен
21.09.2005, Цзюн Лао, F, 62405, Лаленбург
17.12.1990, Келлен Боддинок Фниппер, F, 391711, Куахог
21.13.2005, Орел Немецк, F, 561045, Лоххаузен
19.08.1997, Чиаркот Зиалео, M, 858078, Аттилан
10.11.1984, Корза Ксогоголь, m, 302533, Лапута
06.06.2005, Барерис Фезим, F, 91628, Арглтон
20.07.2008, Козеф Дотск, M, 38408, Арканар
14.06.2006, Корза Ксогоголь, M, 422081, Мензоберранзан
26.02.1978, Луэ Найло (Ночной Бриз), M, 309055, Великий Гусляр
27.03.2010, Мампена Анвера, f, 664919, Город грехов
26.03.1998, Кривоухий Шестенделиат, m, 102632, Куахог
01.01.1986, Наварра Чергоба, F, 371848, Пндапецим
25.13.1990, Кхемед Пашар, F, 147221, Мензоберранзан
06.01.1990, Элли Белдер, f, 209441, Лаленбург
04.12.2010, Шуй Мей, M, 754856, Мензоберранзан
11.08.2004, Эрин Сианодель (Лунный Ручей), f, 341930, Вайс-Сити
09.08.1993, Владислак Стаянога, m, 725581, Пндапецим
02.01.2005, Иль Бакмэн, f, 769802, Изумрудный город
18.07.2010, Айвор Марск, f, 50918, Анк-Морпорк
13.09.2004, Керкад Фафниренниш, F, 831601, Аттилан
09.04.2000, Ольга Хорнрейвен, f, 367849, Пндапецим
15.04.2006, Маркон Фалоне, F, 572086, Каркоза
10.04.2010, Виарти Итуоа, f, 729782, Изумрудный город
15.11.1975, Наварра Чергоба, f, 899328, Каркоза
02.04.1998, Маркон Фалоне, m, 86400, Спрингфилд
27.03.1981, Диньзее Вулу, f, 530061, Касл-Рок
06.13.1979, Эрин Сианодель (Лунный Ручей), f, 446317, Куахог
06.11.1985, Вуресси Акамбхериллиакс, F, 619488, Вайс-Сити
01.11.1981, Маркон Фалоне, M, 458019, Южный Парк
28.02.2010, Наварра Чергоба, F, 486308, Арглтон
20.02.2009, Зора Чернин, f, 767891, Либерти-Сити
25.11.1986, Иль Бакмэн, M, 226395, Лоххаузен
21.03.1990, Файварра Мурнитара, f, 341438, Лапута
05.01.1993, Элли Белдер, f, 830283, Каркоза
04.13.2008, Алстон Заффраб Плащ, F, 707288, Пндапецим
13.05.2003, Балама Домине, M, 543348, Изумрудный город
26.12.2001, Корза Хен'Дадик, M, 55794, Арканар
21.08.2005, Цзюн Лао, F, 33328, Либерти-Сити
15.07.1976, Наварра Мурнитара, f, 517050, Лапута
24.05.1986, Эрин Сианодель (Лунный Ручей), F, 348391, Лаленбург
08.07.1985, Горн Эвенвуд, F, 270530, Либерти-Сити
11.01.2008, Линзеюн Итуоа, f, 403454, Лоххаузен
03.11.1999, Кеддикай Хун'Дадик, f, 50593, Спрингфилд
16.10.1991, Дарзии Ер, M, 79455, Лаленбург
12.02.1992, Вренн, m, 896170, Лапута
18.09.1978, Корза Хен'Дадик, M, 672460, Твин Пикс
07.06.1976, Еро Асторио, F, 318234, Великий Гусляр
09.06.2004, Керкад Фафниренниш, f, 823302, Спрингфилд
07.11.1978, Цзюн Лао, F, 627635, Анк-Морпорк
14.12.1987, Чао Кунг, M, 749565, Анк-Морпорк
21.07.1999, Файварра Мурнитара, M, 482033, Пндапецим
06.04.2010, Дарзии Ер, m, 320123, Аттилан
18.13.1979, Кехур Серпет, F, 845578, Каркоза
21.06.1977, Наварра Мурнитара, m, 841316, Аттилан
21.11.1990, Шнелисс Гемкаттер, m, 507921, Твин Пикс
25.09.1975, Энна Упавшая Звезда, m, 498104, Твин Пикс
26.06.1992, Линзеюн Итуоа, F, 330633, Спрингфилд
